CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,Open_Year,Open_Month,Open_Day,Open_Hour,Open_Weekday
SUB000508,subapplication,Web Based Application,WBS000162,IM0000004,Closed,4,4,4.0,0.601292279,incident,KM0000553,closed,26.0,2012-02-05 13:32:00,2013-11-04 13:50:00,2013-11-04 13:51:00,3871691111.0,Other,1.0,SD0000007,2012,2,5,13,6
WBA000124,application,Web Based Application,WBS000088,IM0000005,Closed,3,3,3.0,0.415049969,incident,KM0000611,closed,33.0,2012-03-12 15:44:00,2013-12-02 12:36:00,2013-12-02 12:36:00,4354786389.0,Software,1.0,SD0000011,2012,3,12,15,0
WBA000124,application,Web Based Application,WBS000088,IM0000011,Closed,4,4,4.0,0.642927218,incident,KM0000611,closed,13.0,2012-07-17 11:49:00,2013-11-14 09:31:00,2013-11-14 09:31:00,4321833333.0,Operator error,1.0,SD0000025,2012,7,17,11,1
WBA000124,application,Web Based Application,WBS000088,IM0000012,Closed,4,4,4.0,0.345258343,incident,KM0000611,closed,2.0,2012-08-10 11:01:00,2013-11-08 13:55:00,2013-11-08 13:55:00,3383903333.0,Other,1.0,SD0000029,2012,8,10,11,4
WBA000124,application,Web Based Application,WBS000088,IM0000013,Closed,4,4,4.0,0.006675648,incident,KM0000611,closed,4.0,2012-08-10 11:27:00,2013-11-08 13:54:00,2013-11-08 13:54:00,3383436944.0,Other,1.0,SD0000031,2012,8,10,11,4
WBA000082,application,Web Based Application,WBS000055,IM0000014,Closed,4,4,4.0,0.19290712,incident,KM0000401,closed,2.0,2012-08-15 14:17:00,2013-12-27 10:59:00,2013-12-27 10:59:00,3703191389.0,Unknown,1.0,SD0000033,2012,8,15,14,2
WBA000124,application,Web Based Application,WBS000088,IM0000015,Closed,4,4,4.0,0.996467545,incident,KM0000611,closed,5.0,2012-08-22 16:31:00,2013-11-08 14:09:00,2013-11-08 14:09:00,3294624167.0,Other,1.0,SD0000034,2012,8,22,16,2
WBA000082,application,Web Based Application,WBS000055,IM0000018,Closed,4,4,4.0,0.306670312,incident,KM0000401,closed,2.0,2012-09-03 16:04:00,2013-11-08 14:33:00,2013-11-08 14:35:00,3211526944.0,No error - works as designed,1.0,SD0000037,2012,9,3,16,0
WBA000124,application,Web Based Application,WBS000088,IM0000019,Closed,4,4,4.0,0.439908807,incident,KM0000611,closed,6.0,2012-09-21 12:56:00,2013-11-08 14:23:00,2013-11-08 14:23:00,3067449167.0,Software,1.0,SD0000040,2012,9,21,12,4
WBA000124,application,Web Based Application,WBS000088,IM0000020,Closed,4,4,4.0,0.291927638,incident,KM0000611,closed,8.0,2012-10-01 10:49:00,2013-11-08 14:18:00,2013-11-08 14:22:00,1322619167.0,Software,1.0,SD0000042,2012,10,1,10,0
